OBJECTID_1,FIPS,EDU_COMP,EDU_RANK,EE_COMP,EE_RANK,N_COMP,N_RANK,COMP_,COMP_RANK,COMP_OPP
836,26125144600,0.363966,4,0.271329,4,0.403079,4,0.346125,4,High
837,26125144701,-0.045391,3,-0.430904,2,-0.319455,2,-0.26525,2,Low
838,26125144900,0.011054,3,-0.025371,2,0.02531,3,0.003665,3,Moderate
839,26125145100,0.140024,3,0.216253,3,0.386572,4,0.247616,3,Moderate
840,26125145200,0.070117,3,1.112291,5,0.245284,3,0.475898,4,High
841,26125145300,0.117602,3,0.115459,3,0.136318,3,0.123126,3,Moderate
842,26125145400,0.050139,3,0.223303,3,0.091543,3,0.121661,3,Moderate
843,26125145502,-0.209409,2,0.407023,4,0.28366,4,0.160425,3,Moderate
844,26125145700,-0.145553,3,0.097965,3,0.122117,3,0.024843,3,Moderate
845,26125145900,0.028161,3,-0.352164,2,-0.309267,2,-0.21109,2,Low
846,26125150000,1.061142,5,0.460346,4,0.532716,5,0.684735,5,Very High
847,26125150100,-0.157793,3,0.176103,3,0.230967,3,0.083092,3,Moderate
848,26125150200,1.251443,5,1.378368,5,1.404111,5,1.344641,5,Very High
849,26125150300,0.986552,5,0.80799,5,0.652989,5,0.815844,5,Very High
850,26125150500,1.249333,5,0.72053,5,1.032136,5,1.000666,5,Very High
851,26125150600,0.974626,5,0.865914,5,1.005335,5,0.948625,5,Very High
852,26125150800,1.281425,5,1.002009,5,0.895498,5,1.059644,5,Very High
853,26125150900,1.200797,5,0.639214,5,0.776968,5,0.872326,5,Very High
854,26125151000,1.202954,5,1.16667,5,1.128173,5,1.165933,5,Very High
855,26125152000,1.138561,5,0.963578,5,1.484393,5,1.195511,5,Very High
856,26125152600,1.277386,5,1.253901,5,1.250594,5,1.260627,5,Very High
857,26125152900,1.34304,5,0.663525,5,0.342029,4,0.782865,5,Very High
858,26125153000,1.307084,5,0.554735,5,0.296939,4,0.719586,5,Very High
859,26125153100,1.302796,5,0.863564,5,0.917877,5,1.028079,5,Very High
860,26125153300,1.18362,5,0.934782,5,0.696995,5,0.938466,5,Very High
861,26125154000,-0.077428,3,0.598459,5,0.395354,4,0.305462,4,High
862,26125154100,1.014902,5,0.716746,5,0.529127,5,0.753592,5,Very High
863,26125154200,0.497069,4,-0.071253,2,0.013245,3,0.146354,3,Moderate
864,26125154500,0.9834,5,1.395869,5,1.272859,5,1.217376,5,Very High
865,26125154600,1.009939,5,0.536424,4,0.711391,5,0.752585,5,Very High
866,26125156100,0.77406,5,1.038601,5,0.8831,5,0.898587,5,Very High
867,26125156200,0.810548,5,0.997775,5,0.690438,5,0.83292,5,Very High
868,26125156300,1.131035,5,0.94839,5,0.795167,5,0.958197,5,Very High
869,26125156400,1.136155,5,0.790314,5,0.804773,5,0.910414,5,Very High
870,26125156900,0.880109,5,1.024741,5,0.663545,5,0.856132,5,Very High
871,26125157000,1.19908,5,1.04009,5,0.694718,5,0.977963,5,Very High
872,26125157200,0.644942,4,0.717316,5,0.222976,3,0.528411,4,High
873,26125157300,0.6443,4,0.829313,5,0.407439,4,0.627017,5,Very High
874,26125157500,1.04387,5,0.697106,5,0.045004,3,0.595327,5,Very High
875,26125157600,0.820373,5,0.548543,5,0.428058,4,0.598991,5,Very High
876,26125157800,1.055401,5,0.572254,5,0.388251,4,0.671968,5,Very High
877,26125157900,1.046583,5,0.689891,5,0.72416,5,0.820211,5,Very High
878,26125158000,1.216385,5,0.943203,5,0.981199,5,1.046929,5,Very High
879,26125158100,1.336144,5,0.833366,5,0.775772,5,0.981761,5,Very High
880,26125159000,1.347079,5,1.3148,5,1.128119,5,1.263332,5,Very High
881,26125160000,0.262492,3,0.543683,4,0.445568,4,0.417248,4,High
882,26125160300,0.01102,3,0.107676,3,-0.910007,1,-0.26377,2,Low
883,26125160500,0.6144,4,-0.208732,2,0.048949,3,0.151539,3,Moderate
884,26125160600,0.214601,3,0.477725,4,0.282354,4,0.324893,4,High
885,26125160700,0.269684,4,0.397085,4,0.372039,4,0.34627,4,High
886,26125160800,0.352526,4,0.281918,4,0.184258,3,0.272901,4,High
887,26125161000,-0.191011,2,0.123077,3,-0.011123,2,-0.026352,3,Moderate
888,26125161100,-0.134845,3,0.030201,3,-0.295416,2,-0.133353,2,Low
889,26125161200,0.04007,3,0.606509,5,0.328924,4,0.325168,4,High
890,26125161400,0.224578,3,0.094721,3,0.01382,3,0.111039,3,Moderate
891,26125161500,0.072263,3,0.15112,3,-0.003597,2,0.073262,3,Moderate
892,26125161600,0.182577,3,0.454241,4,-0.170967,2,0.155284,3,Moderate
